C: Phosphatase	C: Kinase	N: NumberPSM	T: Index	T: Gene	4Hr-AGB1.01	4Hr-AGB1.02	4Hr-AGB1.03	4Hr-AGB1.04	4Hr-AGB1.05	24Hr-AGB1.01	24Hr-AGB1.02	24Hr-AGB1.03	24Hr-AGB1.04	24Hr-AGB1.05	4Hr-Cis.01	4Hr-Cis.02	4Hr-Cis.03	24Hr-Cis.01	24Hr-Cis.02	24Hr-Cis.03
	+	2	Q96QP1	ALPK1	98429.28539	125767.532	125541.08	113820.4293	118538.8138	64298.61315	76474.96918	62631.4648	67983.64053	74224.09616	136827.6242	122345.3717	148232.267	79943.88145	68880.1183	87167.3361
	+	19	P10398	ARAF	7919621.22	7515824.768	7100061.055	7553427.445	7236697.318	8284596.487	8304719.443	8151307.156	8522823.353	7604384.236	7598061.717	7703592.715	7808424.199	8792853.493	8287468.207	8219390.581
	+	35	Q13315	ATM	2025855.721	1893468.513	1942388.023	1977299.526	1738004.034	2223652.625	2124659.174	2210436.715	2254224.858	2322907.057	2010468.08	2001985.369	1979493.638	2346208.832	2347184.795	2363674.589
	+	28	Q13535	ATR	1784143.22	1688019.337	1687902.336	1719073.74	1586922.233	1734153.29	1756290.423	1804665.471	1649503.033	1664779.876	1662934.599	1776492.294	1731630.877	1678103.188	1680081.746	1693175.397
	+	13	O14965	AURKA	16024766.51	14049349.52	12178220.47	13184138.8	12035560.55	9662064.145	9118088.618	8211418.304	9226167.155	8115789.412	13384871.94	12428940.64	12328551.76	9116824.67	9036295.381	8420065.352
	+	11	Q96GD4	AURKB	2278732.269	2331456.368	2245958.75	2300952.866	2065128.323	1909018.959	1586812.24	1703298.67	1865072.135	1774523.193	2157605.988	2295695.714	1873494.095	1767893.577	1858748.31	1723249.302
	+	13	P30530	AXL	1656262.601	1781054.213	1722174.618	1789468.85	1896883.966	1206335.694	1320726.217	1187997.196	1166293.936	1043717.613	1733432.226	1630519.201	1761532.913	1044007.033	1174243.356	1113060.052
	+	4	O14874	BCKDK	1502985.854	1481780.169	1548349.791	1583296.478	1497059.364	568539.0822	614349.4554	554412.4001	532086.0299	507834.8932	1562581.491	1497785.918	1456021.27	562229.645	574720.1077	646952.3806
	+	15	P11274	BCR	1024153.122	1167588.115	1261142.615	1137393.473	1067422.577	960482.6314	1134008.482	1160326.993	1238017.262	1160970.594	1048576	1148484.535	1178565.084	1171804.123	1121423.673	1132908.567
	+	2	Q9NSY1	BMP2K	177751.2278	204479.9694	197254.6795	203885.5493	204097.6436	348596.8482	341020.7501	279289.1495	306090.7665	253231.9651	212043.3922	224226.9249	249520.7035	291270.4866	336209.2752	314107.747
	+	4	O00238	BMPR1B	739658.5988	718087.4384	696131.3394	739299.8013	670417.3686	444092.2903	442065.3096	415531.9835	460965.7385	456640.7234	705310.9929	735772.3827	646414.4845	431469.7825	459912.537	516138.9568
	+	2	Q13873	BMPR2	1556959.515	1269738.52	1340277.216	1494363.819	1359740.58	706240.485	831467.2996	706485.2918	972541.3058	830315.4398	1372524.052	1340184.318	1444661.438	980052.8337	868399.8794	888430.8718
	+	3	P15056	BRAF	576116.08	441330.5218	519584.9077	550277.5707	571581.6201	674425.7057	478978.0441	519512.8829	463432.5974	534599.8844	516926.6298	550048.7642	500322.9135	605891.5249	625955.2518	568617.904
	+	21	P25440	BRD2	4753306.497	4283325.843	4589164.211	4541067.34	3992607.993	4492540.254	4238434.32	4196339.583	4241079.217	3922657.653	4388510.718	4327492.834	4281544.828	4004803.427	4178344.456	4051992.295
	+	14	Q15059	BRD3	3783526.187	4331694.298	3975210.977	3948299.501	3936276.134	3457265.575	3300835.931	3796924.812	3382362.837	3069346.307	3514529.174	3786937.027	3239410.796	3308394.857	2892729.516	3687214.716
	+	33	O60885	BRD4	6738051.385	6553344.757	6390068.651	6714274.084	6828796.92	5829739.549	5849573.463	5753865.233	5791076.001	6130613.401	6892041.701	7172775.271	7117800.172	6048726.507	6014027.358	6208012.363
	+	7	O43683	BUB1	1491673.128	1795681.436	1531909.883	1650761.196	1493846.002	902582.9497	832909.3718	803255.8182	946734.2566	753945.1266	1658445.302	1553186.885	1415421.198	745319.7685	773423.9959	835048.2298
	+	16	O60566	BUB1B	1134480.201	1077906.044	1003354.506	936552.2768	960549.2093	924427.082	944374.7874	902207.6541	832678.4723	839226.0878	989335.2805	910437.2119	1037011.168	858048.6958	871233.5586	879912.1699
	+	11	Q8IU85	CAMK1D	1648474.34	1652592.964	1583186.736	1582747.844	1542030.639	1679499.575	1668939.238	1636974.026	1755681.844	1588683.162	1769364.681	1599178.998	1667782.818	1720265.724	1560849.493	1647103.748
	+	34	Q13557	CAMK2D	27139672.96	27090806.35	24820003.79	24806244.47	25143811.05	19246596.35	19509858.79	19665997.11	20735507.19	22926296.72	23268905.23	24136279.96	24900994.05	20013914.03	17792920.55	21860150.53
	+	12	Q13555	CAMK2G	6752077.347	5646009.008	6704972.573	5389051.713	6675756.952	6740854.245	6816973.764	6463570.928	7199174.214	7016402.108	6090798.727	6201990.993	6547896.104	7496054.44	7335683.682	7015429.496
	+	12	Q96RR4	CAMKK2	2482220.762	2255631.555	2172613.325	2331456.368	2114375.233	2121568.751	2167799.655	1964866.686	2103703.57	2150886.55	2266916.781	2342958.549	2281102.747	2143445.048	1932316.518	2121568.751
	+	35	O14936	CASK	12813844.03	13515391.81	13278602.66	12729743.38	13521013.87	12907443.97	13187794.72	13195109.62	13642455.48	13846327.1	13161312.21	12687460.54	13285967.92	13279523.09	13560433.84	13241837.54
	+	30	Q5VT25	CDC42BPA	1720981.311	1893337.273	2014932.39	1833920.921	1854372.955	1554371.583	1639585.834	1681246.694	1626793.837	1660170.519	1844374.252	1939159.443	1948861.317	1625328.608	1600731.604	1674965.559
	+	76	Q9Y5S2	CDC42BPB	13219827.35	13357067.8	13427617.4	12553619.06	13399724.47	13500411.07	13700260.6	13653807.68	14014335.46	14485438.27	13471433.12	13404369.27	13838651.2	13864574.45	13726876.05	13455568.4
	+	3	Q15131	CDK10	340029.408	321286.3137	340359.5347	463047.2853	340666.368	470847.3877	449917.2014	449293.9158	431709.1065	424322.0132	416396.957	326064.9855	363576.6443	496488.233	418074.3479	460901.8395
	+	13	P24941	CDK2	6806114.54	6570628.753	6204570.865	6121696.117	6187820.86	6933248.31	6693827.766	6155736.3	6222228.735	6430056.573	6055438.48	6248160.142	6169832.959	6557434.221	6166412.626	6386968.922
	+	1	Q00526	CDK3	481374.4353	486675.2897	430215.5065	478911.6482	536976.7134	290544.5767	363727.883	343035.89	354125.2035	386417.2572	410664.297	467303.3973	537982.6049	355995.6285	360090.4968	368882.0339
	+	14	P11802	CDK4	14717201.19	13396009.79	12123475.44	13650022.56	12331970.43	8537013.322	8539972.539	8128174.814	8432330.6	8341064.016	12557100.14	13013448.64	12807628.23	9055105.379	8804441.131	8034629.122
	+	12	Q00535	CDK5	5950584.688	5532883.055	5837422.255	6140820.491	5981599.969	7116813.504	7289053.203	7144491.984	7117306.821	7086785.735	6862486.617	5959252.72	5950172.239	6998915.697	7552380.39	7102029.883
	+	13	Q00534	CDK6	5140937.35	5769040.657	5054720.885	5430298.223	5386810.935	5001398.051	5432180.547	4728660.058	4909007.704	4555253.779	5684886.047	5678978.424	5557482.232	4934936.191	5402515.966	4654516.883
	+	14	P50613	CDK7	4491917.499	4855202.372	4864297.379	4916840.074	4885924.027	4167642.217	4356988.878	4262297.904	4136559.777	4163022.716	5008336.269	4469245.919	4562837.993	4274131.901	4298196.473	4560624.627
	+	5	P49336	CDK8	1545454.768	1276445.049	1372524.052	1422699.954	1412676.795	1057041.069	1014895.672	861445.4997	961415.1419	969915.8105	1335825.381	1381113.065	1379486.588	1002450.8	880644.3647	1039530.027
	+	12	P50750	CDK9	5691983.306	5593422.973	5206202.51	4901187.809	5359251.166	6292491.797	6625050.404	6126365.456	6084469.288	6227838.058	5233700.727	5451417.562	5027466.038	6023622.798	6468052.687	6405145.888
	+	2	O76039	CDKL5	1149201.221	1027281.401	1009633.322	1160326.993	1118473.776	694540.8382	742998.6171	678269.9257	703211.92	662150.6659	1118396.252	1052945.986	1103534.268	766273.5593	679116.7075	826296.4821
	+	8	O14757	CHEK1	1129223.792	1298396.873	1199664.861	1278747.51	1141975.287	741712.2135	719083.6093	720180.9936	661370.8801	783025.6273	1190965.342	1214053.022	1136999.351	759241.8545	716148.8728	669163.8576
	+	12	O96017	CHEK2	2498793.064	3153232.24	2890725.123	2893531.662	2538421.121	2820070.893	3041391.274	2908613.154	3021429.816	2823983.053	2881323.066	2863404.387	2913051.951	3020173.5	2824374.567	2881722.53
	+	23	O15111	CHUK	2626299.467	2641452.434	2605267.355	2551651.728	2677954.467	3144283.78	3002639.826	3183318.325	3176705.679	3215474.015	2641818.642	2528762.297	2754960.112	3158701.113	3167690.604	3169887.041
	+	67	O14578	CIT	9038801.121	9399808.925	8582699.164	8800170.225	8602353.577	8455742.425	7958140.835	7939407.964	7923464.777	7846946.863	8625041.693	8434084.236	8761825.186	7874189.489	7848034.756	7724981.247
	+	3	P49759	CLK1	1117001.738	1056308.638	1107518.986	1183230.733	1146893.501	1266310.704	1153830.601	1195762.962	1187750.184	1259744.738	1044586.114	1098421.242	950152.7899	1087889.052	1318622.342	1273440.392
	+	3	P49760	CLK2	595358.8569	540824.1314	652220.3817	536344.3395	538281.0085	737917.4975	714463.1116	769627.0603	670370.9004	709232.9314	551614.173	514210.6624	531496.2547	715851.0967	746664.182	676860.9685
	+	7	P49761	CLK3	1437369.951	1519325.969	1451285.574	1543527.761	1474607.94	1719908.042	1907299.533	1823653.237	1757873.714	1832269.135	1507576.729	1593314.904	1502881.678	1767771.04	1831253.391	1852189.141
	+	3	Q9HAZ1	CLK4	383854.4905	272973.2395	267837.7894	317368.6283	349467.7985	155958.2126	151388.9101	142410.8953	131217.4441	178764.4081	247385.2571	324869.3247	246324.397	108091.9831	133696.2987	112463.7085
	+	24	P41240	CSK	7729801.844	7723910.411	7311824.438	7318416.029	7704126.706	9849369.884	9651354.513	9552189.322	9903451.618	9645335.562	7260814.678	7574399.052	7515303.829	10489917.53	9385485.856	9477663.441
	+	19	P48729	CSNK1A1	10508839.32	10331883.89	10011119.65	10316140.56	9898647.599	9925442.556	9178328.422	9527062.35	9861666.266	9907571.204	10408796.98	10126975.29	10261938.86	9826185.2	9838452.638	9678150.88
	+	3	P48730	CSNK1D	683792.9391	828705.5163	721530.0724	718386.1447	877171.857	1448572.037	1719431.248	1488368.158	1428926.223	1156793.564	535564.1997	699614.1776	807498.4696	1548027.854	1277950.035	1411208.769
	+	11	P49674	CSNK1E	3722653.739	3510876.944	3781428.737	3529420.758	3275082.913	2819484.537	2994118.728	2796129.987	2814017.754	2991629.325	3430054.336	3735577.856	3646042.633	2814017.754	2926409.027	3159796.025
	+	1	Q9HCP0	CSNK1G1	475372.8555	528850.3457	514317.6007	480108.183	491352.8846	80076.98303	96959.86032	82694.28455	79435.70502	105121.6281	458766.3342	459848.784	470977.9524	102204.5572	111261.8906	135459.3075
	+	7	Q9Y6M4	CSNK1G3	3236493.106	2203094.578	2338902.027	2412169.74	2846583.522	2034439.574	2413507.702	2263776.345	2175024.166	2140030.607	2672947.369	2623752.126	2461318.624	2378301.19	2382095.793	2200805.165
	+	31	P68400	CSNK2A1	31788464.61	32080649.17	31729028.22	32140744.24	31259687.06	37492533.99	35947796.39	35721764.27	34230997.56	34610345.32	30951371.44	30373293.11	30637601.01	36157710.66	36490055.26	34378422.25
	+	24	P19784	CSNK2A2	14099102.57	13552916.43	13810861.69	14058116.7	14073716.29	15622261.72	14911272.05	15395442.52	15089064.21	15226700.29	14553875.11	14477408.07	13335790.41	16070372.12	15616848.4	14455347.95
	+	33	P53355	DAPK1	3227084.67	3551014.941	3046032.702	3274401.949	3330021.359	4002028.471	3798504.238	4035734.959	4067751.171	3717754.306	3175825.031	3359697.707	3239859.905	3925105.497	3616593.451	4093773.918
	+	10	O43293	DAPK3	2045894.044	1745852.202	1729231.99	1922830.284	1867788.928	1988983.669	1767035.998	1905977.952	1947240.974	1745610.193	1632102.235	1812814.657	1792945.246	1682878.978	1884042.397	2011164.976
	+	9	Q08345	DDR1	1386676.666	1285858.088	1656147.802	1598403.26	1521328.208	1207423.203	1306522.012	1269210.561	1260530.853	1116924.316	1457535.912	1324760.379	1601064.502	1330465.804	1293008.206	1362854.391
	+	9	Q13627	DYRK1A	2188786.794	2167198.696	2312464.841	2399329.723	2322585.056	2515824.753	2677768.851	2749237.286	2651357.903	2445333.829	2354354.279	2142850.841	2031057.989	2541766.373	2315191.34	2414511.66
	+	25	O00418	EEF2K	4851165.608	4058175.988	4241961.217	4243137.501	4013974.442	2953102.497	3644526.601	3355508.544	3508930.64	3525019.97	4154374.948	4486938.565	4262297.904	3940917.179	3484934.234	3774358.421
	+	62	P00533	EGFR	23438875.16	23794090.92	19757540.09	20639432.97	22160698.2	17961443.96	17256062.85	17074026.64	17594241.69	18086375.68	20122413.25	20984198.15	19667360.3	17184445.92	17526079.83	17589364.21
	+	4	Q9BQI3	EIF2AK1	664403.432	737355.078	698402.8884	651361.9861	662517.942	452607.1971	440200.116	449075.9699	458226.0652	487992.6862	752326.8216	717092.6476	671812.9128	443046.9301	431649.2631	481975.4041
	+	24	P19525	EIF2AK2	21306643.45	21438490.61	19459887.04	22862819.57	22282379.99	22111598.67	22068725.83	21496523.13	20836360.97	21610063.86	20829140.89	21219686.41	22107001.17	22131532.22	21450381.93	20313000.15
	+	8	Q9NZJ5	EIF2AK3	369496.1995	352264.6058	311916.4252	291391.6477	312479.0624	309998.1328	339628.9702	276208.8461	302421.252	266726.1964	303239.8855	341991.2765	331304.8964	348935.2929	330044.2641	305645.5422
	+	14	Q9P2K8	EIF2AK4	891762.4952	879058.712	825895.6578	833024.8455	859894.4156	728363.9535	737150.6681	699177.8717	676907.8865	772459.6237	912585.37	855554.3614	903897.7143	734753.0923	674285.4774	735517.4276
	+	39	P29317	EPHA2	11335934.57	11702391.07	11138101.43	11323369.58	11906945.26	8280577.751	7914682.244	7742671.483	8092196.937	7745355.353	11066533.16	10503741.64	10688084.62	7216660.722	8435838.237	7751263.143
	+	18	P29323	EPHB2	1268419.033	1177666.815	1309695.502	1242659.837	1324668.557	1112365.905	1092422.876	1042416.215	1086080.795	1129928.458	1241368.49	1382933.161	1300288.208	1052216.392	1061814.266	978084.7819
	+	22	P54760	EPHB4	4949323.799	4692417.663	4753635.982	4682345.627	4772123.669	4992046.701	4802319.636	4902886.726	4932200.44	5003131.704	4782720.325	4941782.209	4423325.563	5107196.014	4825008.322	5270469.303
	+	16	P04626	ERBB2	5534033.705	5537487.092	5435570.375	5235877.815	5099413.864	6128913.87	6980021.26	7079912.011	7235192.645	6979537.459	5079306.14	5931641.602	5321125.502	7192690.022	7027109.749	6835900.655
	+	8	P21860	ERBB3	426474.513	454587.9762	523561.6861	378255.0977	399240.9004	446747.4596	490604.1799	531385.7447	480041.6305	529694.1317	463400.4758	481741.6049	481674.826	565042.5551	468243.6811	548677.9222
	+	1	O75460	ERN1	38218.93615	31998.13056	42312.60828	43734.97959	47587.66346	55292.6463	55758.34037	58697.03464	54682.81908	62475.37346	49498.59655	41226.94677	42064.04587	51283.2474	59191.40166	56239.65017
	+	4	Q14296	FASTK	876928.687	806435.7105	811651.0034	802143.0407	873349.7503	512609.2547	600664.5517	552073.1837	689122.0525	582339.1148	724888.7131	800754.2364	804983.6749	678599.1042	684694.0738	625825.1016
	+	3	P16591	FER	505096.6683	575716.8852	613243.2825	527349.5376	607110.6686	574441.3194	619223.2003	567830.1783	625304.7713	618022.5699	558655.7398	541086.6045	573446.7504	530134.9022	577996.0068	534822.2645
	+	1	P11362	FGFR1	100031.857	105816.1275	107263.5217	111725.5793	104171.4204	50454.66341	58336.04666	68219.66264	65676.97229	56376.25405	125697.811	105852.8069	112059.0778	59355.7428	61975.05388	57965.22399
	+	1	P21802	FGFR2	197884.6252	163757.3346	158321.7567	198626.6943	180808.127	176719.2898	187366.0448	209937.4469	195647.8865	182786.5005	152357.3949	215809.6722	137779.3355	204763.6354	170628.6048	157730.2669
	+	4	P22455	FGFR4	774872.8122	750555.9003	837889.2272	760189.7251	646862.7002	390212.3734	388189.0775	365420.9951	369726.7752	313803.0828	769200.4067	749931.865	751284.5978	407629.8003	413836.1071	473203.1002
	+	3	P42685	FRK	663483.0114	708054.0655	714463.1116	745939.966	679917.4164	455913.3092	546779.6408	503907.7083	540112.3458	530428.9529	641949.3735	574202.4657	685501.3587	546514.406	519728.9872	526984.1335
+	+	28	O14976	GAK	3722653.739	3848327.101	4208573.842	3714148.325	3740241.514	3777499.15	4077914.227	4155238.916	3974384.441	3961457.791	3828107.73	3702068.091	3787987.134	4044976.807	4105424.576	3969703.982
	+	1	P34947	GRK5	221124.5988	238115.1683	219673.2994	199745.0187	251971.3189	53209.63918	66161.30175	58583.2252	73736.94373	62306.71348	198310.2882	182583.8961	219749.4456	69263.13173	59376.31749	77295.67117
	+	9	P43250	GRK6	1199498.564	1211447.119	1250176.189	1088039.875	941629.5044	1309786.286	1295160.984	1114140.696	1445462.75	1329267.473	1243607.679	1124381.351	1037658.291	1257302.182	1447367.649	1250176.189
	+	23	P49840	GSK3A	14658153.08	15546645.63	14955781.88	14495482.3	15309247.12	17578394.82	17524865.06	18040049.98	17546743.87	17344801.57	15884320.06	16879864.65	14622635.28	16445619.28	17355625.2	17990101.62
	+	15	P49841	GSK3B	2455354.665	2544410.474	2524559.064	2647501.37	2609966.756	2528236.511	2656876.983	2686879.145	2577426.756	2670354.783	2588527.115	2471233.667	2621752.378	2559445.756	2804281.992	2507120.661
	+	3	Q9UJY1	HSPB8	1729831.4	2083387.835	1740173.834	2620843.905	1731270.832	1012155.836	1115067.798	982705.7692	1125316.974	1151593.404	1908225.185	1900964.29	1864555.099	1142133.61	1118163.712	953715.871
	+	28	P08069	IGF1R	3464942.546	3243679.845	3326099.738	3418661.144	3549046.386	3441008.44	3524042.762	3554462.54	3388463.969	3143847.92	3262621.052	3188618.352	3357835.212	3406597.34	3388698.847	3260134.376
	+	24	O14920	IKBKB	3544375.441	3968878.591	3494609.931	3180451.157	3702324.708	4119106.508	4312819.778	4246668.312	4415361.102	4350952.994	3892053.201	3104866.914	3872677.677	4015365.82	4253443.914	4251085.957
	+	24	Q13418	ILK	16719171.24	16002566.85	15447820.82	15145648.33	16181028.77	12554489.24	13142168.42	11814866.56	12944177.85	12384222.83	14284032.64	15326235.04	15604945.69	12250183.29	12698898.26	12348222.09
	+	10	P06213	INSR	1511133.825	1615780.731	1480548.171	1589674.544	1650532.368	1133929.881	1222836.424	1145701.672	1206837.5	1270442.808	1565291.586	1566594.101	1609967.35	1352690.169	1336381.05	1462596.111
	+	14	P51617	IRAK1	3294664.202	3901236.421	3236941.81	3370894.395	3461581.776	3712346.646	3513798.424	3371595.426	3344826.621	3334409.818	3453672.852	3264657.016	3789300.178	3615340.252	3803510.086	3504069.599
	+	12	Q9NWZ3	IRAK4	1438765.46	1483527.254	1587692.399	1546955.215	1493638.925	1364650.424	1427936.11	1403988.804	1498408.959	1437967.86	1608628.773	1590666.544	1650646.778	1589894.935	1499655.819	1430908.509
	+	12	P23458	JAK1	1209098.208	1217508.151	1114372.399	1260967.796	1209852.718	1056967.803	1022734.328	977068.3753	1031634.146	997183.8554	1288356.121	1173348.381	1173999.204	1014192.444	931502.4254	970252.0159
	+	22	Q8IVT5	KSR1	1913788.539	2040653.776	2306541.789	2231836.637	2351744.664	2680554.431	2811872.99	2810314.189	2795161.09	2756870.367	2349463.623	2262364.568	2574212.997	2855674.273	2708006.93	2771047.48
	+	5	O95835	LATS1	425972.2726	578757.7172	290806.5019	370701.9041	442065.3096	403329.6665	368447.6177	370753.2979	333933.1979	252635.8759	404842.1562	455250.1604	308882.7975	395988.7724	231443.4166	428727.0739
	+	6	P53667	LIMK1	515781.3205	593175.7115	550010.6391	557649.8468	652898.8614	595276.3284	580163.4967	554181.8744	613796.1198	640438.2724	602624.5827	571145.977	601289.3999	610275.0144	617679.9604	584279.8457
	+	1	P53671	LIMK2	272104.2567	217763.1024	221462.0542	231058.7182	184978.7473	232665.8587	273863.9796	224678.1028	228906.6738	209167.6188	222832.4786	212322.833	235097.5534	270805.9666	242411.7325	238958.4071
	+	10	Q8IWU2	LMTK2	2183937.289	2093521.059	2167949.92	2123922.951	2008518.056	2236637.466	2347510.207	2222573.964	2502606.44	2680368.636	2404157.531	2296969.071	2104432.784	2549176.791	2611595.446	2485147.412
	+	1	Q5S007	LRRK2	22940.35346	15788.64782	17667.37401	16149.47897	16156.19675	16152.83751	19293.1354	21033.48082	16611.56065	21567.92852	18965.63427	14452.18493	11635.93886	17517.38737	15076.35447	18256.21416
	+	14	P07948	LYN	6036580.011	6331869.1	6493658.118	6174539.016	6868673.131	7589113.812	7439117.22	7459771.452	7847490.79	7774400.502	6223522.746	6356935.413	6354292.188	7292590.732	7009596.652	8338751.702
	+	16	Q02750	MAP2K1	19282650.03	18410174.94	17403811.98	19445055.27	20181079.34	19749324.87	20220285.06	18754064.97	18442105	18425494.46	18279205.12	17590583.46	17082313.02	19721965.46	18874040.92	18453613.37
	+	26	P36507	MAP2K2	30643972.59	30927781.19	30797288.48	30402781.84	32174179.01	34516910.42	34933309.72	34133854.47	34352220	33552106.26	30354351.17	30820779.2	31110537.83	34732911.15	36000160.43	33064964.11
	+	18	P46734	MAP2K3	7913585.112	8011827.896	7731945.297	7992414.639	8197201.322	7862191.1	7878010.996	7622854.984	7406189.33	8073708.115	7745355.353	9161802.294	7995185.079	8050237.969	8020162.292	7457703.451
	+	15	P45985	MAP2K4	7198176.265	7707865.679	6900646.026	8138886.506	8024610.848	7385171.534	7614933.462	7007167.732	7360641.113	6779746.969	8262231.196	7843140.424	7629726.968	7102029.883	7778712.74	7338226.477
	+	3	Q13163	MAP2K5	416339.2361	261889.7373	326811.6755	464622.6627	312912.5508	181826.1279	222940.6238	187197.2869	185119.8404	205061.9083	368907.6038	279657.21	310751.1059	239140.6732	194889.9269	207363.1481
	+	13	P52564	MAP2K6	2958224.27	3030658.783	3300607.142	2942681.56	3168349.375	3303353.652	3602083.015	3388463.969	3313443.756	3607580.108	2914465.716	2844216.785	2784525.357	3481795.405	3393164.635	3394811.408
	+	10	O14733	MAP2K7	8242782.519	8306446.54	8066436.243	8509246.764	7930058.071	8602949.867	9352366.263	8907567.005	9319363.542	9056988.531	8196065.027	8914979.193	8754540.335	9564114.691	8941590.219	9096625.316
	+	4	Q13233	MAP3K1	1160246.569	1137787.732	1214894.831	948573.4742	1225296.952	622364.3943	661050.0588	542175.3511	599832.4307	591779.42	1205082.094	1100936.631	1155831.77	744132.4977	646235.2852	754938.7111
	+	9	Q9Y2U5	MAP3K2	1750699.449	1800667.031	1832523.159	1895438.216	1729711.501	1792945.246	1725400.681	1840415.396	1666396.172	1865847.958	1733912.902	1875573.019	1803040.035	1855916.021	1602174.66	1616004.741
	+	12	Q9Y6R4	MAP3K4	692521.8187	765265.0569	794616.9267	755724.0448	749620.0419	878571.3934	917151.1567	893061.498	866716.1128	882049.4416	778425.799	775678.8825	776916.486	929116.5136	885234.4065	892195.286
	+	1	Q99683	MAP3K5	546931.2613	901457.5309	566336.5047	801809.5081	717390.94	993664.9834	706926.1577	551767.1342	858465.1246	701216.2967	686499.9073	957292.3136	540749.1624	860550.3023	1046905.652	684883.9376
	+	1	O95382	MAP3K6	83570.14392	68087.38949	80288.18057	66276.04995	63058.35873	57776.69262	65964.3994	69138.41933	74450.8139	58843.68599	80460.88578	83090.73509	71939.67393	59479.29801	68760.8615	87415.40959
	+	16	O43318	MAP3K7	2356476.723	2252194.51	2337767.46	2199890.066	2218879.668	1957390.266	1970868.378	1924296.928	1943061.32	2012978.036	2214423.918	2248918.58	2271478.155	2063983.49	1893862.29	2028666.101
	+	3	Q12851	MAP4K2	563946.9772	369854.9349	410949.0465	450166.7576	446128.5652	455281.717	385080.355	334605.121	447677.4114	437705.2006	435314.9374	453643.6692	434380.5559	424057.3899	496178.6041	374861.9843
	+	13	Q8IVH8	MAP4K3	1214894.831	1239305.124	1205332.71	1272822.665	1274853.466	786506.9562	887692.2031	753109.4382	818770.7282	720880.2008	1130398.48	1173673.748	1256343.902	869303.2423	826296.4821	850823.2901
	+	11	O95819	MAP4K4	2060409.976	2056272.451	1931780.841	2107498.246	1833793.807	1689072.707	1837738.42	1465335.918	1558255.096	1617125.258	1898462.406	2075748.176	1978122.033	1500903.717	1721577.861	1526927.36
	+	15	Q9Y4K4	MAP4K5	2355170.377	2419873.162	2222111.841	2239585.013	2270848.454	2296809.863	2263776.345	2167499.154	2279996.217	2142256.799	2351255.683	2239429.782	2232455.519	2133218.036	2149694.176	2094537.089
	+	24	P28482	MAPK1	27358769.34	26064809.86	25539023	25037722.48	25736276.41	23875043.07	24022783.69	23771012.19	23736436.06	23876698.02	24857881.28	24894090.98	25452428.86	23828751.03	23403159.9	23982853.73
