DMSO.01	DMSO.02	DMSO.03	MK-2206.01	MK-2206.02	MK-2206.03	14H.01	14H.02	14H.03	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
708888.8929	682656.3588	751336.6746	651994.3785	686071.7799	686737.8713	746043.3824	730183.7313	696855.498				7	7	7	41.2	41.2	41.2	29.057	0	42.145	147190000	7	A1L170;A1L170-2	A1L170;A1L170-2	Uncharacterized protein C1orf226	C1orf226	18
4578044.323	5018065.947	4997932.547	4299388.351	4907646.826	4933226.169	4675534.92	4818658.067	4813316.966				19	19	18	19.4	19.4	18.9	134.41	0	203.28	563310000	20	A1L390;A1L390-3;A1L390-2	A1L390;A1L390-3;A1L390-2	Pleckstrin homology domain-containing family G member 3	PLEKHG3	20
56068.3891	98177.17269	85961.31904	75385.52952	89091.48926	93644.0688	58263.30821	76073.16454	79871.87716				1	1	1	2.5	2.5	2.5	100.56	0.0013707	1.8211	29097000	1	A1L4H1-2;A1L4H1	A1L4H1-2;A1L4H1	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	SSC5D	22
5506484.029	5289866.929	5634280.661	5035138.389	5384944.332	5076138.492	5275220.617	5156997.802	5320019.12				20	18	18	26.6	24.6	24.6	101.58	0	215.17	1770100000	34	A1X283	A1X283	SH3 and PX domain-containing protein 2B	SH3PXD2B	23
440933.0218	453235.079	455534.2488	404393.4207	401266.1687	467757.0914	464912.5998	452199.5403	475504.6751				4	4	4	21.9	21.9	21.9	28.996	0	39.145	76363000	8	A1XBS5-2;A1XBS5;A1XBS5-3;A1XBS5-4;A1XBS5-5	A1XBS5-2;A1XBS5;A1XBS5-3;A1XBS5-4	Protein FAM92A1	FAM92A1	24
286385.7137	291008.1435	269925.1726	236322.9148	251204.0154	243810.3761	272670.6703	255293.9813	247436.7048				2	2	2	8.3	8.3	8.3	50.05	0	14.635	96326000	4	A1Z1Q3;A1Z1Q3-4;A1Z1Q3-2	A1Z1Q3;A1Z1Q3-4;A1Z1Q3-2	O-acetyl-ADP-ribose deacetylase MACROD2	MACROD2	25
264351.8688	234186.7619	275730.6272	256446.7923	281017.4124	276074.8613	280822.6935	284979.7732	256002.7886				9	9	9	10.1	10.1	10.1	84.456	0	22.591	69875000	8	A2A3K4;A2A3K4-2	A2A3K4;A2A3K4-2	Protein tyrosine phosphatase domain-containing protein 1	PTPDC1	28
441605.924	394427.3315	450104.3556	368856.4659	402882.6075	380938.8756	417090.232	414036.9504	408676.5676				9	9	9	13.4	13.4	13.4	73.186	0	21.161	65018000	6	A2AJT9-3;A2AJT9-2;A2AJT9	A2AJT9-3;A2AJT9-2;A2AJT9	Uncharacterized protein CXorf23	CXorf23	29
5997376.027	5612841.931	6148913.154	5208007.155	5562492.288	5452173.342	6036580.011	5662469.721	5646400.374				22	22	22	13.4	13.4	13.4	254.81	0	234.75	1861200000	46	A2RRP1-2;A2RRP1	A2RRP1-2;A2RRP1	Neuroblastoma-amplified sequence	NBAS	30
4086969.369	3827842.395	4118250.053	3638720.986	3744391.876	3731178.63	4027909.952	3996761.35	3780380.447				16	13	13	28.9	24.3	24.3	81.56	0	224.32	1662800000	35	A2RTX5-2;A2RTX5	A2RTX5-2;A2RTX5	"Probable threonine--tRNA ligase 2, cytoplasmic"	TARSL2	31
2025434.5	2041644.148	2006569.923	1894387.453	2007543.753	1885740.857	2027400.948	1981140.82	1938353.137				4	4	4	10.5	10.5	10.5	67.038	0	63.846	582100000	4	A2RU67	A2RU67	Uncharacterized protein KIAA1467	KIAA1467	32
1994091.252	2017308.085	2037826.789	1776738.585	1826309.696	1908754.331	2107060.05	1960921.022	1828970.025				5	5	5	14.9	14.9	14.9	36.547	0	13.957	620160000	13	A2RUC4;A2RUC4-2	A2RUC4;A2RUC4-2	tRNA wybutosine-synthesizing protein 5	TYW5	33
222477.5135	226947.6462	230562.7624	228272.8888	240387.1079	238974.971	231812.6868	228938.4092	215974.2816				5	5	5	5.1	5.1	5.1	129.81	0	22.644	196120000	10	A2RUS2-2;A2RUS2	A2RUS2-2;A2RUS2	DENN domain-containing protein 3	DENND3	35
2583866.317	2535080.273	2751143.572	2249074.469	2457227.494	2499485.973	2573142.634	2521411.224	2535959.017				10	10	10	8.1	8.1	8.1	169.7	0	141.36	422230000	22	A2VDJ0-3;A2VDJ0-5;A2VDJ0-2;A2VDJ0	A2VDJ0-3;A2VDJ0-5;A2VDJ0-2;A2VDJ0	Transmembrane protein 131-like	KIAA0922	36
8106793.703	7490860.372	8382795.475	7336700.695	7615989.189	7229177.083	8133247.015	7786804.635	7664179.927				36	36	36	23.9	23.9	23.9	210.92	0	246.61	1922000000	70	A3KMH1-3;A3KMH1;A3KMH1-2	A3KMH1-3;A3KMH1;A3KMH1-2	von Willebrand factor A domain-containing protein 8	VWA8	37
11660287.3	12971122.52	12194269.5	11602239.74	11777255.13	11717813.03	11782970.87	11623167.95	11901994.33				27	27	24	26.7	26.7	24.3	154.18	0	323.31	2771500000	54	A3KN83-2;A3KN83;A3KN83-3;A3KN83-4	A3KN83-2;A3KN83;A3KN83-3;A3KN83-4	Protein strawberry notch homolog 1	SBNO1	38
659265.4725	743977.7758	663666.9934	627301.7231	680247.3945	703211.92	714908.9559	622019.3779	693290.276				9	9	9	32.6	32.6	32.6	42.932	0	36.229	524730000	20	A4D1E9;A4D1E9-2;A4D1E9-3	A4D1E9;A4D1E9-2	GTP-binding protein 10	GTPBP10	40
15850225.17	15625510.62	16137346.09	14642920.61	15632010.44	15079654.1	15602782.53	15457460.68	15544490.56				17	17	17	26.9	26.9	26.9	83.343	0	163.15	2659500000	40	A4D1P6;A4D1P6-2;A4D1P6-3	A4D1P6;A4D1P6-2;A4D1P6-3	WD repeat-containing protein 91	WDR91	42
772566.7167	698064.1034	754206.4694	669767.1071	729728.3611	664956.2971	858048.6958	794066.331	718734.7924				12	12	12	37.9	37.9	37.9	32.212	0	105.45	480280000	5	A4D1S0-2;A4D1S0	A4D1S0-2;A4D1S0	Killer cell lectin-like receptor subfamily G member 2	KLRG2	43
101731.0108	97526.04963	106411.9022	100636.9096	86932.01712	113159.6426	109631.2829	97844.28729	88949.56934				2	2	2	6.2	6.2	6.2	51.445	0	5.4988	213370000	5	A4D1U4	A4D1U4	Protein LCHN	LCHN	44
956562.6929	965020.4569	964218.1092	835453.496	909238.9739	916642.7211	1012927.86	875228.3837	930276.4631				7	7	7	8.9	8.9	8.9	132.27	0	27.486	450180000	9	A4D2P6	A4D2P6	Delphilin	GRID2IP	46
11386.21006	12904.61965	14254.20542	12002.93832	11751.03328	14393.20242	16750.30796	15102.50245	12652.19433				2	2	2	5.4	5.4	5.4	38.658	0.0053487	1.3119	296880000	4	A5D8V6	A5D8V6	Vacuolar protein sorting-associated protein 37C	VPS37C	49
100762.5491	114413.6773	83912.60953	71984.56624	93943.12728	82596.89912	80149.17223	96657.89796	97309.96966				5	5	5	7.9	7.9	7.9	100.9	0	74.821	79608000	2	A5PL33-3;A5PL33;A5PL33-2	A5PL33-3;A5PL33;A5PL33-2	Protein KRBA1	KRBA1	50
4022.843782	4502.467041	6832.036655	2027.659937	1118.306551	4831.649211	5050.813303	4601.217694	4567.218196				3	3	3	16.9	16.9	16.9	30.85	0.00011093	2.8125	7214600	4	A5PLL7-2;A5PLL7	A5PLL7-2;A5PLL7	Transmembrane protein 189	TMEM189	51
874985.7525	783514.2565	947390.7103	751805.5291	961215.2421	933312.0521	899335.5669	929309.738	1024224.114				6	6	6	19.5	19.5	19.5	45.934	0	15.687	472350000	12	A5PLN9-2;A5PLN9;A5PLN9-4;A5PLN9-5;A5PLN9-7	A5PLN9-2;A5PLN9;A5PLN9-4;A5PLN9-5;A5PLN9-7	Trafficking protein particle complex subunit 13	TRAPPC13	52
60633005.46	61543365.34	64023579.36	57112373.26	61513511.55	60498666.19	62714686.65	59616155.22	62692955.16				61	61	61	29.1	29.1	29.1	266.94	0	323.31	15837000000	168	A5YKK6;A5YKK6-2;A5YKK6-3;A5YKK6-4	A5YKK6;A5YKK6-2;A5YKK6-3;A5YKK6-4	CCR4-NOT transcription complex subunit 1	CNOT1	53
7915779.528	7406189.33	7687057.344	6933728.903	7482038.713	7434477.904	7934456.648	7637663.879	7659400.254				34	34	34	17.2	17.2	17.2	286.18	0	323.31	1885400000	43	A6H8Y1-7;A6H8Y1-6;A6H8Y1;A6H8Y1-2;A6H8Y1-4;A6H8Y1-3;A6H8Y1-5;A6H8Y1-8	A6H8Y1-7;A6H8Y1-6;A6H8Y1;A6H8Y1-2;A6H8Y1-4;A6H8Y1-3	Transcription factor TFIIIB component B homolog	BDP1	54
4686241.912	5295002.74	4863623.091	4473274.932	4543901.089	4526611.309	4584077.486	4610845.838	5291333.795				3	3	3	24.8	24.8	24.8	14.688	0.0001101	2.6293	1668400000	6	Q9GZQ8;A6NCE7;Q9H492;Q9H492-2	Q9GZQ8;A6NCE7	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2	57
322804.2394	324059.6791	324396.7859	304566.9772	331052.3854	337867.9551	333886.9081	346933.5893	304757.0353				4	4	4	13.9	13.9	13.9	30.48	0	46.479	154780000	9	A6NCS6	A6NCS6	Uncharacterized protein C2orf72	C2orf72	61
1257912.377	1160970.594	1220042.522	1124537.234	1163629.221	1164032.574	1150396.691	1117311.48	1255560.398				6	6	6	9.1	9.1	9.1	90.834	0	36.758	185900000	7	A6ND36;A6ND36-2	A6ND36	Protein FAM83G	FAM83G	62
4748037.833	3931913.083	4614362.773	3795346.044	4472034.849	4332595.142	4977189.893	5139868.433	4275909.832				15	15	15	27.9	27.9	27.9	71.695	0	94.423	997650000	22	A6NDB9	A6NDB9	Paralemmin-3	PALM3	63
2395341.628	2494985.499	2472261.638	2280470.378	2431980.112	2595713.995	2398664.58	2547233.881	2459272.208				7	7	7	26.5	26.5	26.5	34.006	0	70.406	1758400000	26	A6NDG6	A6NDG6	Phosphoglycolate phosphatase	PGP	64
12409141.73	11973154.79	12339665.92	9604639.272	11239698.5	10546054.34	10218640.96	10294711.04	10852318.81				7	7	7	30.3	30.3	30.3	33.62	0	60.615	2167900000	19	A6NDU8	A6NDU8	UPF0600 protein C5orf51	C5orf51	65
2206762.593	1778710.144	2141366.044	1803040.035	1930442.296	2096570.627	2116428.031	2055274.983	1969912.338				6	6	6	25.3	25.3	25.3	40.078	0	88.032	1052600000	11	A6NED2	A6NED2	RCC1 domain-containing protein 1	RCCD1	67
923082.4564	507940.5055	1107518.986	417582	849939.1311	782428.8276	556221.5055	530465.7207	847820.8966				8	8	8	10	10	10	108.44	0	46.285	162460000	13	A6NFI3	A6NFI3	Zinc finger protein 316	ZNF316	68
2216420.215	2045894.044	2105308.175	1916842.008	1949401.731	2125542.979	2164646.481	2160149.902	2041785.668				6	6	6	15.9	15.9	15.9	49.457	0	15.169	495010000	11	A6NGB9	A6NGB9	WAS/WASL-interacting protein family member 3	WIPF3	70
760137.0346	712880.1379	848232.3617	687309.3214	747233.7021	772995.2375	837134.5525	839691.5826	810919.9611				3	3	3	14.5	14.5	14.5	39.321	0	10.022	53373000	4	A6NHQ4	A6NHQ4	Uncharacterized protein C17orf96	C17orf96	74
87446663.27	83930974.74	88268784.77	73834922.04	81805811.48	81325249.07	85262025.92	79008251.6	83016800.78				64	64	64	34.4	34.4	34.4	226.37	0	279.58	18099000000	165	A6NHR9;A6NHR9-2;A6NHR9-3	A6NHR9;A6NHR9-2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	75
202028.5978	206918.0536	233765.0947	166066.3219	213621.8955	193664.5004	179895.5532	163689.244	204706.8707				2	2	2	3.3	3.3	3.3	98.568	0	3.374	24337000	2	A6NI28	A6NI28	Rho GTPase-activating protein 42	ARHGAP42	78
45089869.54	46880999.74	50746324.59	45712963.06	49812345.2	48861675.51	48098881.17	44927641.72	47420252.2				10	10	9	56.6	56.6	53	28.136	0	95.628	5499400000	24	A6NIH7	A6NIH7	Protein unc-119 homolog B	UNC119B	79
1273881.809	1293456.406	1401169.443	1218774.678	1279368.113	1374428.093	1428926.223	1349412.5	1267364.43				5	5	5	15.2	15.2	15.2	46.121	0	105.4	843170000	9	A6NJ78;A6NJ78-2;A6NJ78-4;A6NJ78-3;P0C7V9	A6NJ78;A6NJ78-2;A6NJ78-4	Probable methyltransferase-like protein 15	METTL15	82
147525.0069	119421.2459	159157.9835	115553.3852	111462.5856	112799.4103	133483.3247	114699.5336	116437.8032				1	1	1	7.9	7.9	7.9	33.803	0	75.71	19814000	3	A6NJG2	A6NJG2	Ankyrin repeat domain-containing protein SOWAHD	SOWAHD	84
6566986.233	5627255.35	6171543.837	5402515.966	5650707.18	5622186.963	6048726.507	6148486.959	5943164.982				7	7	7	20.3	20.3	20.3	53.69	0	121.09	530600000	12	A6NJT0	A6NJT0	Homeobox protein unc-4 homolog	UNCX	86
2980039.453	2579035.141	3168349.375	2685948.105	3059999.529	2789741.469	3250431.905	3169447.632	3035073.45				2	2	2	0.7	0.7	0.7	237.27	0.0020894	1.6184	542210000	5	A6NKB5;A6NKB5-4;A6NKB5-3	A6NKB5;A6NKB5-4;A6NKB5-3	Pecanex-like protein 2	PCNXL2	89
4878817.205	5669146.026	5069457.721	4996893.364	5201513.359	5780648.823	5439716.371	5350714.048	5472998.384				14	14	14	45.6	45.6	45.6	45.209	0	323.31	900830000	23	A6NKD9	A6NKD9	Coiled-coil domain-containing protein 85C	CCDC85C	90
4514704.088	4506575.094	4577409.715	4103717.533	4509699.896	4417197.781	4025118.985	4228164.276	4589482.319				7	7	7	20.3	20.3	20.3	43.553	0	83.769	898100000	14	A6NKF1;A6NKF1-2	A6NKF1	SAC3 domain-containing protein 1	SAC3D1	91
6590698.759	5871102.446	6467156.087	5503049.976	5677010.581	5360737.271	6499061.638	5773841.206	5514505.153				4	4	4	10.3	10.3	10.3	36.67	0	51.987	1451200000	8	A6NKF9;B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6	A6NKF9;B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6	Putative Golgi pH regulator C;Golgi pH regulator A;Golgi pH regulator B	GPR89C;GPR89A;GPR89B	92
3457984.568	3459662.8	3495094.42	3063819.765	3394105.55	3432194.783	3515503.743	3389873.484	3446976.423				55	4	0	29.1	2.6	0	197.48	0	70.858	1491000000	11	A6NKT7	A6NKT7	RanBP2-like and GRIP domain-containing protein 3	RGPD3	93
191993.7737	187314.1031	191674.6474	179584.0879	197569.4013	220252.6726	196790.3566	186136.3117	207133.3024				1	1	1	4.5	4.5	4.5	18.091	0.009909	0.98006	48791000	2	A6NNL5	A6NNL5	Uncharacterized protein C15orf61	C15orf61	96
563126.688	555450.953	551767.1342	465557.5525	507377.4937	492443.9498	467984.1036	457622.988	548031.7682				4	2	2	8.4	3.7	3.7	49.63	0.00085901	2.1866	158440000	4	A6NNY8	A6NNY8	Ubiquitin carboxyl-terminal hydrolase 27	USP27X	97
71660.97241	86194.01041	83217.53879	73359.69397	55615.52326	94093.01448	96310.13469	81121.68507	90310.11735				3	3	3	3.6	3.6	3.6	107.87	0	6.9332	103630000	4	A6QL63-2;A6QL63;A6QL63-5;A6QL63-3;A6QL63-4	A6QL63-2;A6QL63;A6QL63-5;A6QL63-3	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11	BTBD11	100
1103304.819	1021175.925	1143400.979	945881.5469	965823.4723	938957.2832	1011594.733	1009913.29	952196.6317				2	2	1	20.4	20.4	10.6	13.171	0	4.3055	1320800000	5	A6ZKI3	A6ZKI3	Protein FAM127A	FAM127A	102
4368177.347	3933003.392	4259639.773	3477695.047	4054239.819	4042454.206	4267619.143	4120534.329	4077066.337				15	15	15	11.3	11.3	11.3	196.43	0	246.99	1177700000	25	A7E2V4-5;A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-2	A7E2V4-5;A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-2	Zinc finger SWIM domain-containing protein 8	ZSWIM8	103
1146973	1180690.988	1122823.708	1056235.423	1093710.892	1166132.265	1142767.119	1137235.808	1127268.691				14	14	14	10	10	10	230.53	0	147.7	216430000	13	A7KAX9;A7KAX9-2;A7KAX9-3	A7KAX9;A7KAX9-2	Rho GTPase-activating protein 32	ARHGAP32	104
322089.0301	304968.35	303639.5094	300436.3811	282227.687	304566.9772	334373.2708	300353.094	292991.6451				9	9	9	20.8	20.8	20.8	67.701	0	63.125	123960000	8	A7MCY6;A7MCY6-2	A7MCY6	TANK-binding kinase 1-binding protein 1	TBKBP1	105
531017.5438	573605.7657	573287.7793	520377.8395	531422.5788	517715.5049	588099.199	528777.0365	524833.3966				4	4	4	6.3	6.3	6.3	92.657	0	15.164	36680000	4	A7XYQ1	A7XYQ1	Sine oculis-binding protein homolog	SOBP	106
75223.7183	75375.07959	79331.15867	70944.34153	72777.25417	70293.32119	73436.00723	80054.78406	64736.87031				23	6	6	22.9	6.2	6.2	125.06	0	76.16	53296000	3	A8CG34;A8CG34-2;A6NF01;Q6PJE2-5;Q6PJE2	A8CG34;A8CG34-2	Nuclear envelope pore membrane protein POM 121C	POM121C	107
2516347.958	2329033.564	2488422.456	2250321.966	2210436.715	2334043.47	2280470.378	2342146.682	2350929.752				7	7	7	17.8	17.8	17.8	69.107	0	54.587	326070000	14	A8K855-2;A8K855	A8K855-2;A8K855	EF-hand calcium-binding domain-containing protein 7	EFCAB7	110
1518378.459	1506636.547	1674385.161	1548886.501	1780930.764	2005457.553	1632894.328	1947915.953	1851290.671				5	5	4	6.3	6.3	5.4	117.08	0	44.779	201310000	8	A8K8P3-5;A8K8P3-10;A8K8P3-3;A8K8P3-9;A8K8P3-2;A8K8P3;A8K8P3-4	A8K8P3-5;A8K8P3-10;A8K8P3-3;A8K8P3-9;A8K8P3-2;A8K8P3;A8K8P3-4	Protein SFI1 homolog	SFI1	111
204834.6134	123847.0518	172986.5087	164645.0942	146363.8759	145121.3242	150291.0946	149947.7137	141918.191				2	2	2	3	3	3	66.833	0.00085571	2.1122	10679000	2	A8K979-2;A8K979;A8K979-3;A8K979-4	A8K979-2;A8K979;A8K979-3;A8K979-4	ERI1 exoribonuclease 2	ERI2	112
700681.8497	730487.4694	684029.9648	717838.6114	740068.8664	735364.4969	666432.8543	677612.0477	688453.6486				1	1	1	5.9	5.9	5.9	34.466	0	44.464	177700000	2	A8MPS7	A8MPS7	Carbohydrate deacetylase	YDJC	114
267800.6617	318514.6048	301228.7614	280958.9826	291735.2115	286127.7702	298154.3789	257944.2927	297865.1885				2	1	1	6.4	1.5	1.5	125.43	0	46.905	60535000	2	A8MQ14	A8MQ14	Zinc finger protein 850	ZNF850	115
458861.7419	454430.4553	441361.1136	417668.8428	395824.1195	447522.2851	400599.196	410806.6471	428667.6438				2	2	2	26.9	26.9	26.9	9.3738	0	3.2335	75707000	3	A8MSI8	A8MSI8	LYR motif-containing protein 9	LYRM9	116
2303825.475	2436535.818	2356476.723	2241914.767	2342796.153	2358274.132	2332426.195	2330325.413	2418028.805				2	2	2	50	50	50	6.4663	0	69.975	508450000	9	A8MT69-3;A8MT69-2;A8MT69	A8MT69-3;A8MT69-2;A8MT69	Centromere protein X	STRA13	117
153789.7685	166955.0261	155364.7835	129914.2356	142519.5196	144098.9203	152748.639	134953.2317	141584.1262				4	2	1	6.6	3.9	2.6	71.172	0.0010612	1.9547	63965000	2	A8MTY0;Q86V71;O75437	A8MTY0;Q86V71;O75437	Putative zinc finger protein 724;Zinc finger protein 429;Zinc finger protein 254	ZNF724P;ZNF429;ZNF254	118
109547.7251	120661.0068	120502.2033	103022.5051	107501.7038	114620.0575	128847.0517	126038.0663	127532.0208				9	9	9	12.6	12.6	12.6	87.434	0	143.58	95014000	6	A8MVW0	A8MVW0	Protein FAM171A2	FAM171A2	122
3784313.031	4115111.241	4100305.576	3485900.597	3764169.074	3994268.818	4289862.571	4077066.337	3908002.61				9	9	9	8.8	8.8	8.8	115.01	0	15.572	961710000	15	A8MW92;A8MW92-4;A8MW92-2	A8MW92;A8MW92-4;A8MW92-2	PHD finger protein 20-like protein 1	PHF20L1	123
9966807.267	11179094.5	11047372.92	12137769.56	10665143.19	11112653.41	12177376.36	11206248.08	11090338				5	5	5	36.8	36.8	36.8	8.496	0	5.9457	3043600000	26	P62308;A8MWD9	P62308;A8MWD9	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	124
1802915.062	1643340.492	1876093.111	1646647.137	1709804.565	1694584.327	1888095.098	1885348.768	1672761.115				11	11	11	16.1	16.1	16.1	113.84	0	39.709	806130000	23	A8MWY0;A8MWY0-3;A8MWY0-2	A8MWY0;A8MWY0-3;A8MWY0-2	UPF0577 protein KIAA1324-like	KIAA1324L	125
751128.3888	729071.1053	813848.0868	729020.5717	721730.1508	697000.4201	826926.7419	759662.9843	715404.6648				8	8	8	28	28	28	42.233	0	86.45	574720000	16	A8MXV4	A8MXV4	"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial"	NUDT19	126
56041.19115	54675.23895	53706.1618	47010.64974	46559.88905	50738.73744	50749.28936	46873.99051	47268.77971				2	1	1	7.5	5.5	5.5	50.594	0	8.229	3239800	1	A8MYZ6	A8MYZ6	Forkhead box protein O6	FOXO6	127
5052619.123	4658067.128	4856548.707	4540752.588	4572652.961	4609887.14	4729643.458	4533205.084	4611485.082				5	5	5	25.2	25.2	25.2	25.423	0	58.646	769530000	13	A9UHW6;A9UHW6-2;A9UHW6-3	A9UHW6;A9UHW6-2;A9UHW6-3	MIF4G domain-containing protein	MIF4GD	128
125132.7588	104997.831	119827.5404	134897.1179	129151.0637	133196.8095	124147.8714	111539.8724	113599.7394				2	2	2	1.8	1.8	1.8	91.732	0.0091306	1.03	8693500	2	B1AK53;B1AK53-2	B1AK53;B1AK53-2	Espin	ESPN	129
8255933.961	8446955.383	8854626.36	7545055.07	8486275.002	8407817.944	8694068.308	8640000.708	8491570.668				27	27	27	11.1	11.1	11.1	300.43	0	310.39	1539100000	33	B2RTY4-4;B2RTY4;B2RTY4-5;B2RTY4-2;B2RTY4-3	B2RTY4-4;B2RTY4;B2RTY4-5;B2RTY4-2	Unconventional myosin-IXa	MYO9A	131
73736.94373	59607.24194	55963.55539	61833.45503	46001.71413	67917.7008	60800.6868	55777.66809	50629.82931				37	1	1	38.9	1.9	1.9	105.47	0	15.955	17255000	2	B5ME19	B5ME19	Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3CL	135
1397386.813	1319994.054	1380634.49	1167992.84	1329636.075	1263329.903	1328714.761	1260181.408	1359269.411				4	4	2	11.7	11.7	6.3	49.994	0	8.3047	697050000	5	C4AMC7;Q6VEQ5	C4AMC7;Q6VEQ5	Putative WAS protein family homolog 3;WAS protein family homolog 2	WASH3P;WASH2P	137
298505.9163	275425.0016	321330.8565	264095.4646	281426.7618	266781.6663	294620.8487	257176.6258	261454.4319				4	4	4	6.7	6.7	6.7	85.408	0	16.697	42021000	5	O43374-2;O43374;C9J798	O43374-2;O43374;C9J798	Ras GTPase-activating protein 4;Putative Ras GTPase-activating protein 4B	RASA4;RASA4B	138
271463.7435	259558.4625	254551.8456	218731.2763	253477.8222	232746.5085	290645.2892	292768.3353	277071.7314				2	2	2	29.4	29.4	29.4	11.18	0	18.541	93640000	3	C9J7I0	C9J7I0	UBAP1-MVB12-associated (UMA)-domain containing protein 1	UMAD1	139
